feature	chromosome	start	end	SLX-17921.D703tp_D508tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D705tp_D501tp.HC22VBBXY.s_3.r_1
1:245500001-246000000	1	245500001	246000000	1.127	1.093	0.983	1.129
1:246000001-246500000	1	246000001	246500000	1.027	1.032	1.009	1.185
1:246500001-247000000	1	246500001	247000000	1.037	0.976	0.963	1.13
1:247000001-247500000	1	247000001	247500000	1.069	0.931	0.913	1.338
1:247500001-248000000	1	247500001	248000000	1.123	0.934	1.123	1.17
2:1-500000	2	1	500000	1.002	1.001	0.94	0.973
2:1500001-2000000	2	1500001	2000000	1.031	0.969	0.989	1.002
2:2000001-2500000	2	2000001	2500000	0.973	1.071	0.973	1.048
2:2500001-3000000	2	2500001	3000000	0.977	1.121	0.99	1.007
2:3000001-3500000	2	3000001	3500000	0.999	1.003	1.018	1.086
2:3500001-4000000	2	3500001	4000000	1.026	1.054	1.006	0.992
2:4000001-4500000	2	4000001	4500000	0.995	1.033	0.914	0.866
2:4500001-5000000	2	4500001	5000000	0.987	1.138	1.121	1.134
2:5000001-5500000	2	5000001	5500000	0.942	0.925	0.977	0.972
2:5500001-6000000	2	5500001	6000000	0.958	1.058	1.024	1.056
2:6000001-6500000	2	6000001	6500000	1.018	0.95	1.03	1.009
2:6500001-7000000	2	6500001	7000000	1.005	0.995	0.957	0.952
2:7000001-7500000	2	7000001	7500000	1.109	1.01	1.031	0.953
2:7500001-8000000	2	7500001	8000000	1.017	1.002	1.042	1.071
2:8000001-8500000	2	8000001	8500000	1.033	0.865	0.957	0.89
2:8500001-9000000	2	8500001	9000000	1.033	0.982	0.992	0.912
2:9000001-9500000	2	9000001	9500000	0.942	0.995	0.957	0.931
2:9500001-10000000	2	9500001	10000000	1.007	1.02	1.029	0.888
2:10000001-10500000	2	10000001	10500000	1.018	1.071	0.92	0.88
2:10500001-11000000	2	10500001	11000000	1.043	1.103	1.058	0.949
2:11000001-11500000	2	11000001	11500000	0.875	0.902	0.872	0.957
2:11500001-12000000	2	11500001	12000000	0.956	0.986	1.049	0.841
2:12000001-12500000	2	12000001	12500000	1.042	1.117	1.009	0.914
2:12500001-13000000	2	12500001	13000000	1.053	1.078	0.98	0.857
2:13000001-13500000	2	13000001	13500000	0.972	0.901	0.905	0.904
2:13500001-14000000	2	13500001	14000000	0.93	0.967	0.935	0.979
2:14000001-14500000	2	14000001	14500000	0.986	1.073	0.902	0.902
2:14500001-15000000	2	14500001	15000000	1.061	1.104	1.065	1.003
2:15000001-15500000	2	15000001	15500000	1.037	1.118	0.952	0.93
2:15500001-16000000	2	15500001	16000000	1.011	1.031	1.037	0.909
2:16500001-17000000	2	16500001	17000000	1.095	1.019	1.099	0.961
2:17000001-17500000	2	17000001	17500000	1.036	1.068	1	1.078
2:17500001-18000000	2	17500001	18000000	1.075	0.951	1.075	0.819
2:18000001-18500000	2	18000001	18500000	1.089	0.997	1.059	0.901
2:18500001-19000000	2	18500001	19000000	1.005	0.966	0.991	0.967
2:19000001-19500000	2	19000001	19500000	1.005	1.031	1.012	1.005
2:19500001-20000000	2	19500001	20000000	1.014	1.048	0.994	0.858
2:20000001-20500000	2	20000001	20500000	0.959	0.916	0.976	0.875
2:20500001-21000000	2	20500001	21000000	0.983	0.949	0.923	1.07
2:21000001-21500000	2	21000001	21500000	1.018	0.949	1.003	1.004
2:21500001-22000000	2	21500001	22000000	1.027	0.997	0.981	1.058
2:22500001-23000000	2	22500001	23000000	1.078	1.061	0.923	1.088
2:23000001-23500000	2	23000001	23500000	1.057	0.966	1.032	0.941
2:23500001-24000000	2	23500001	24000000	1.01	0.932	0.903	1.043
2:24000001-24500000	2	24000001	24500000	0.97	1.003	1.088	0.952
2:25000001-25500000	2	25000001	25500000	1.044	0.983	1.016	0.94
2:25500001-26000000	2	25500001	26000000	0.988	0.964	0.938	0.969
2:26000001-26500000	2	26000001	26500000	0.851	1.017	0.939	0.973
2:26500001-27000000	2	26500001	27000000	0.987	1.003	1.041	1.057
2:27000001-27500000	2	27000001	27500000	1.037	1.076	0.983	1.053
2:27500001-28000000	2	27500001	28000000	0.984	0.922	0.969	0.873
2:28000001-28500000	2	28000001	28500000	0.974	0.985	0.902	0.905
2:28500001-29000000	2	28500001	29000000	0.925	0.998	0.972	0.881
2:29000001-29500000	2	29000001	29500000	0.971	0.974	1.058	0.885
2:29500001-30000000	2	29500001	30000000	1.063	1.023	1.072	0.987
2:30000001-30500000	2	30000001	30500000	1.061	1.087	0.963	0.852
2:30500001-31000000	2	30500001	31000000	0.996	1.047	1.051	0.93
2:31000001-31500000	2	31000001	31500000	1.083	1.071	0.991	0.979
2:31500001-32000000	2	31500001	32000000	0.988	0.877	1.035	0.93
2:32000001-32500000	2	32000001	32500000	0.876	0.902	0.908	0.875
2:33000001-33500000	2	33000001	33500000	1.037	0.93	1.006	0.952
2:34000001-34500000	2	34000001	34500000	0.89	0.998	0.957	0.939
2:34500001-35000000	2	34500001	35000000	0.985	1.064	1.052	0.999
2:35000001-35500000	2	35000001	35500000	1.123	0.995	1.023	0.986
2:35500001-36000000	2	35500001	36000000	0.888	0.971	0.965	0.832
2:36500001-37000000	2	36500001	37000000	1.014	0.928	0.932	0.976
2:37000001-37500000	2	37000001	37500000	0.968	0.967	0.943	0.896
2:37500001-38000000	2	37500001	38000000	1.008	1.06	0.957	0.899
2:38000001-38500000	2	38000001	38500000	1.047	1.084	1.017	0.943
2:38500001-39000000	2	38500001	39000000	0.916	1.063	0.945	1.018
2:39000001-39500000	2	39000001	39500000	0.936	0.952	0.912	0.952
2:39500001-40000000	2	39500001	40000000	1.08	1.094	1.019	0.897
2:40000001-40500000	2	40000001	40500000	0.996	0.996	1.058	1.04
2:41000001-41500000	2	41000001	41500000	1.108	1.004	1.01	0.892
2:41500001-42000000	2	41500001	42000000	1.112	0.996	1.006	0.933
2:42000001-42500000	2	42000001	42500000	0.965	0.957	0.913	0.855
2:42500001-43000000	2	42500001	43000000	1.056	1.102	1.035	0.894
2:43000001-43500000	2	43000001	43500000	0.952	0.903	1.048	0.911
2:43500001-44000000	2	43500001	44000000	0.988	0.959	1.027	0.978
2:44000001-44500000	2	44000001	44500000	0.915	0.925	1.009	0.98
2:44500001-45000000	2	44500001	45000000	1.04	0.998	0.99	0.936
2:45000001-45500000	2	45000001	45500000	1.026	1.049	1.081	0.972
2:45500001-46000000	2	45500001	46000000	1.001	0.938	1.036	0.982
2:46000001-46500000	2	46000001	46500000	1.033	0.945	1.041	0.96
2:46500001-47000000	2	46500001	47000000	0.917	0.933	0.989	0.902
2:47000001-47500000	2	47000001	47500000	0.962	0.943	1.008	1.011
2:47500001-48000000	2	47500001	48000000	0.966	0.974	1.068	1.082
2:48000001-48500000	2	48000001	48500000	1.018	0.863	0.947	0.908
2:48500001-49000000	2	48500001	49000000	1.009	1.058	1.088	0.917
2:49500001-50000000	2	49500001	50000000	0.971	0.938	1.035	1.058
2:50000001-50500000	2	50000001	50500000	1.069	1.108	0.999	0.948
2:51000001-51500000	2	51000001	51500000	1.01	1.088	1.02	0.877
2:51500001-52000000	2	51500001	52000000	1.01	0.955	0.986	0.895
2:52000001-52500000	2	52000001	52500000	0.931	0.986	0.983	0.913
2:52500001-53000000	2	52500001	53000000	0.992	1.024	0.977	1.055
2:53000001-53500000	2	53000001	53500000	0.984	1.024	0.972	1.003
2:53500001-54000000	2	53500001	54000000	0.965	0.926	0.952	0.976
2:54500001-55000000	2	54500001	55000000	0.973	0.902	0.946	0.953
2:55000001-55500000	2	55000001	55500000	0.918	0.944	0.932	0.94
2:55500001-56000000	2	55500001	56000000	1.033	1.013	1.064	1.019
2:56000001-56500000	2	56000001	56500000	1.079	1.1	1.077	0.972
2:56500001-57000000	2	56500001	57000000	1.015	0.974	1.005	0.985
2:57000001-57500000	2	57000001	57500000	0.964	1.048	0.957	0.964
2:58000001-58500000	2	58000001	58500000	1.09	1.057	0.991	1.08
2:58500001-59000000	2	58500001	59000000	1.06	1.127	1.078	1.031
2:59000001-59500000	2	59000001	59500000	1.049	1.107	1.051	1.078
2:59500001-60000000	2	59500001	60000000	1.103	1.007	1.09	1.065
2:60000001-60500000	2	60000001	60500000	1.15	1.265	1.109	1.141
2:60500001-61000000	2	60500001	61000000	0.999	0.907	0.986	0.969
2:61000001-61500000	2	61000001	61500000	0.905	0.888	0.945	0.906
2:61500001-62000000	2	61500001	62000000	0.999	0.916	1	1.021
2:62000001-62500000	2	62000001	62500000	1.014	1.007	0.924	1.051
2:62500001-63000000	2	62500001	63000000	1.083	1.076	0.936	0.917
2:63000001-63500000	2	63000001	63500000	1.046	0.992	1.085	1.076
2:63500001-64000000	2	63500001	64000000	1.061	1.059	1	0.976
2:64000001-64500000	2	64000001	64500000	0.884	0.921	0.983	0.957
2:64500001-65000000	2	64500001	65000000	1.003	0.918	0.962	0.919
2:65000001-65500000	2	65000001	65500000	0.994	0.914	0.98	0.998
2:65500001-66000000	2	65500001	66000000	1.078	1.136	1.132	1.14
2:66000001-66500000	2	66000001	66500000	1.009	1.07	1.045	1.1
2:66500001-67000000	2	66500001	67000000	1.018	1.044	1.103	1.059
2:67000001-67500000	2	67000001	67500000	1.103	1.123	1.008	0.993
2:68000001-68500000	2	68000001	68500000	0.934	0.914	0.961	0.963
2:68500001-69000000	2	68500001	69000000	1.022	1.034	1.037	1.016
2:69000001-69500000	2	69000001	69500000	1.008	1.048	1.026	0.961
2:69500001-70000000	2	69500001	70000000	0.946	0.845	0.925	0.905
2:70000001-70500000	2	70000001	70500000	1.052	0.995	1.025	0.995
2:70500001-71000000	2	70500001	71000000	1.007	1.108	0.955	1.136
2:71000001-71500000	2	71000001	71500000	1.064	0.961	1.073	0.995
2:71500001-72000000	2	71500001	72000000	1.046	1.094	0.974	1.02
2:72000001-72500000	2	72000001	72500000	1.029	1.042	1.083	1.149
2:72500001-73000000	2	72500001	73000000	1.016	0.958	0.978	0.981
2:73000001-73500000	2	73000001	73500000	0.963	0.969	0.992	0.997
2:73500001-74000000	2	73500001	74000000	1.061	1.012	0.971	1.061
2:74000001-74500000	2	74000001	74500000	0.969	0.988	0.912	0.945
2:74500001-75000000	2	74500001	75000000	1.025	0.943	0.953	0.977
2:75500001-76000000	2	75500001	76000000	0.927	0.961	0.962	0.932
2:76000001-76500000	2	76000001	76500000	0.956	0.953	0.908	0.875
2:76500001-77000000	2	76500001	77000000	0.977	0.999	0.978	1.102
2:77000001-77500000	2	77000001	77500000	1.083	1.093	0.966	1.041
2:77500001-78000000	2	77500001	78000000	0.99	0.928	0.887	0.842
2:78000001-78500000	2	78000001	78500000	0.961	1.005	1.029	1.048
2:78500001-79000000	2	78500001	79000000	0.97	0.934	0.96	0.971
2:79000001-79500000	2	79000001	79500000	1.034	1.061	1.016	1.014
2:79500001-80000000	2	79500001	80000000	1.011	1.011	0.966	1.014
2:80000001-80500000	2	80000001	80500000	1.013	1.112	1.013	1.051
2:80500001-81000000	2	80500001	81000000	1.031	0.908	0.931	0.976
2:81000001-81500000	2	81000001	81500000	0.98	0.94	1.078	0.901
2:82000001-82500000	2	82000001	82500000	0.892	0.936	0.908	0.941
2:83000001-83500000	2	83000001	83500000	1.021	1.057	0.987	1.012
2:83500001-84000000	2	83500001	84000000	0.952	0.887	1.025	0.941
2:84000001-84500000	2	84000001	84500000	1.015	1.01	1.039	1.076
2:84500001-85000000	2	84500001	85000000	1.006	0.986	1.009	0.933
2:85500001-86000000	2	85500001	86000000	1.011	0.974	0.945	0.978
2:86000001-86500000	2	86000001	86500000	0.93	0.943	0.93	0.926
2:88000001-88500000	2	88000001	88500000	1.07	0.909	0.974	0.922
2:95000001-95500000	2	95000001	95500000	1.028	0.964	1.039	0.927
2:96000001-96500000	2	96000001	96500000	1.12	1.067	1.037	1.126
2:96500001-97000000	2	96500001	97000000	0.995	1.064	1.129	1.139
2:98000001-98500000	2	98000001	98500000	1.068	0.998	1.057	1.092
2:98500001-99000000	2	98500001	99000000	1.023	1.146	1.082	0.863
2:99000001-99500000	2	99000001	99500000	0.958	0.937	1	0.908
2:99500001-100000000	2	99500001	100000000	1.067	1.048	1.054	1.043
2:100000001-100500000	2	100000001	100500000	1.07	1.096	1.037	1.04
2:100500001-101000000	2	100500001	101000000	1.023	1.056	1.02	1.054
2:101000001-101500000	2	101000001	101500000	1.04	0.933	0.851	1.131
2:101500001-102000000	2	101500001	102000000	0.981	1.053	0.986	0.91
2:103000001-103500000	2	103000001	103500000	1.047	0.93	1.008	1.038
2:103500001-104000000	2	103500001	104000000	1.019	0.97	1.013	1.038
2:104000001-104500000	2	104000001	104500000	1.07	1.121	1.052	1.122
2:104500001-105000000	2	104500001	105000000	0.998	0.95	1.006	0.999
2:105000001-105500000	2	105000001	105500000	1.025	1.001	1.022	1.128
2:105500001-106000000	2	105500001	106000000	0.919	1.079	0.966	0.974
2:106500001-107000000	2	106500001	107000000	1.019	1.106	1.075	1.009
2:107000001-107500000	2	107000001	107500000	1.005	0.935	1.028	1.028
2:107500001-108000000	2	107500001	108000000	1.161	1.162	1.209	1.035
2:108000001-108500000	2	108000001	108500000	1.009	0.988	0.965	1.019
2:109000001-109500000	2	109000001	109500000	1.081	1.051	1.075	1.047
2:112500001-113000000	2	112500001	113000000	0.993	1.071	0.936	1.025
2:114000001-114500000	2	114000001	114500000	1.067	1.059	1.05	1.051
2:114500001-115000000	2	114500001	115000000	0.925	0.999	1.094	1.011
2:115000001-115500000	2	115000001	115500000	0.958	0.93	1	0.943
2:115500001-116000000	2	115500001	116000000	1.025	0.927	1.017	0.94
2:116000001-116500000	2	116000001	116500000	0.979	1.066	0.958	0.883
2:117500001-118000000	2	117500001	118000000	1.059	0.976	1.129	1.019
2:118000001-118500000	2	118000001	118500000	1.036	1.004	1.046	1.124
2:118500001-119000000	2	118500001	119000000	1.041	1.017	0.952	1.026
2:119000001-119500000	2	119000001	119500000	1.046	0.967	0.972	0.923
2:119500001-120000000	2	119500001	120000000	0.991	0.953	1.058	0.907
2:120500001-121000000	2	120500001	121000000	1.035	1.034	0.962	0.932
2:121500001-122000000	2	121500001	122000000	0.928	0.983	1.05	1.005
2:122000001-122500000	2	122000001	122500000	0.998	1.093	1.068	1.057
2:122500001-123000000	2	122500001	123000000	0.913	0.993	0.948	1.037
2:123000001-123500000	2	123000001	123500000	1.065	0.943	1.054	0.996
2:123500001-124000000	2	123500001	124000000	1.006	0.931	1.023	0.924
2:124000001-124500000	2	124000001	124500000	0.95	1.04	1.028	0.978
2:125000001-125500000	2	125000001	125500000	1.022	1.039	0.942	1.172
2:126000001-126500000	2	126000001	126500000	1.016	1.063	0.982	1.033
2:126500001-127000000	2	126500001	127000000	0.937	1.13	1.016	1.056
2:127000001-127500000	2	127000001	127500000	0.888	0.925	1.026	0.909
2:127500001-128000000	2	127500001	128000000	0.894	0.973	0.964	0.967
2:128000001-128500000	2	128000001	128500000	1.022	0.992	0.986	0.986
2:128500001-129000000	2	128500001	129000000	1.032	1.022	0.968	1.295
2:129500001-130000000	2	129500001	130000000	1.077	1.106	1.066	1.204
2:132500001-133000000	2	132500001	133000000	1.018	1.006	1.028	0.992
2:133000001-133500000	2	133000001	133500000	1.014	1.072	0.971	0.956
2:133500001-134000000	2	133500001	134000000	0.964	0.917	0.984	0.912
2:134000001-134500000	2	134000001	134500000	0.954	0.925	1.045	0.902
2:134500001-135000000	2	134500001	135000000	1.007	0.952	1.127	0.884
2:135000001-135500000	2	135000001	135500000	1.029	0.885	1.046	1.056
2:135500001-136000000	2	135500001	136000000	0.956	1.001	0.969	0.854
2:136000001-136500000	2	136000001	136500000	0.879	1.022	1.059	0.933
2:136500001-137000000	2	136500001	137000000	1.073	1.038	1.093	0.932
2:137000001-137500000	2	137000001	137500000	1.015	1.043	1.1	1.044
2:137500001-138000000	2	137500001	138000000	1.061	0.938	1.003	0.97
2:138000001-138500000	2	138000001	138500000	1.028	0.993	1	0.826
2:138500001-139000000	2	138500001	139000000	1.073	1.017	1.074	0.96
2:139000001-139500000	2	139000001	139500000	0.947	0.94	1.024	0.996
2:139500001-140000000	2	139500001	140000000	0.958	1.077	0.956	0.846
2:140500001-141000000	2	140500001	141000000	0.958	0.964	0.959	0.992
2:141000001-141500000	2	141000001	141500000	0.964	1.031	0.998	0.884
2:141500001-142000000	2	141500001	142000000	1.023	1.013	1.017	0.792
2:142000001-142500000	2	142000001	142500000	1.021	1.037	0.994	0.921
2:142500001-143000000	2	142500001	143000000	1.037	1.021	1.073	1.044
2:143500001-144000000	2	143500001	144000000	1.06	1.079	1.065	0.994
2:144000001-144500000	2	144000001	144500000	1.049	1.115	0.957	0.988
2:144500001-145000000	2	144500001	145000000	1.054	0.948	1.003	0.809
2:145000001-145500000	2	145000001	145500000	1.049	1.077	1.014	0.974
2:145500001-146000000	2	145500001	146000000	1.047	1.005	1.043	0.989
2:146000001-146500000	2	146000001	146500000	1.007	1.066	1.037	0.96
2:146500001-147000000	2	146500001	147000000	1.06	1.006	0.929	1.03
2:147500001-148000000	2	147500001	148000000	0.982	0.994	0.993	1.064
2:148000001-148500000	2	148000001	148500000	1.039	0.951	1.072	0.927
2:149000001-149500000	2	149000001	149500000	1.067	1.127	1.027	1.041
2:149500001-150000000	2	149500001	150000000	0.973	0.877	1.085	0.973
2:150000001-150500000	2	150000001	150500000	0.921	1.044	1.012	0.95
2:150500001-151000000	2	150500001	151000000	1.029	1.03	1.039	0.963
2:151000001-151500000	2	151000001	151500000	0.958	1.045	0.919	0.83
2:151500001-152000000	2	151500001	152000000	1	1.19	1.026	1.055
2:152000001-152500000	2	152000001	152500000	0.993	0.913	1.013	0.819
2:152500001-153000000	2	152500001	153000000	0.937	0.948	0.976	0.843
2:153000001-153500000	2	153000001	153500000	0.985	0.945	0.979	0.938
2:153500001-154000000	2	153500001	154000000	0.857	1.072	0.976	0.974
2:154000001-154500000	2	154000001	154500000	1.066	1.025	0.996	0.808
2:154500001-155000000	2	154500001	155000000	1.026	1.03	1.096	1.01
2:155500001-156000000	2	155500001	156000000	0.882	1.077	1.049	0.96
2:156000001-156500000	2	156000001	156500000	0.969	0.951	0.973	1.008
2:157000001-157500000	2	157000001	157500000	1.072	1.033	1.023	0.985
2:157500001-158000000	2	157500001	158000000	1.003	1.056	1.003	0.963
2:158000001-158500000	2	158000001	158500000	0.979	1.007	1.105	0.915
2:158500001-159000000	2	158500001	159000000	1.029	0.922	1.029	0.941
2:159000001-159500000	2	159000001	159500000	0.96	0.961	1.108	0.904
2:159500001-160000000	2	159500001	160000000	0.907	0.919	0.935	0.912
2:160000001-160500000	2	160000001	160500000	0.959	1.032	1.018	0.921
2:160500001-161000000	2	160500001	161000000	0.999	1.099	0.994	0.885
2:161000001-161500000	2	161000001	161500000	1.048	0.989	1.031	0.989
2:161500001-162000000	2	161500001	162000000	1.034	1.019	1.032	0.857
2:162000001-162500000	2	162000001	162500000	1.062	1.014	1.044	0.895
2:163000001-163500000	2	163000001	163500000	0.938	1.107	1.04	1.024
2:163500001-164000000	2	163500001	164000000	0.995	1.071	1.025	0.913
2:164500001-165000000	2	164500001	165000000	0.956	0.984	0.957	1.027
2:165000001-165500000	2	165000001	165500000	1.01	0.964	1.045	0.983
2:165500001-166000000	2	165500001	166000000	1.036	1.022	0.977	1.034
2:166500001-167000000	2	166500001	167000000	1.133	1.025	0.934	0.995
2:167500001-168000000	2	167500001	168000000	1.15	1.058	1.079	1.052
2:168000001-168500000	2	168000001	168500000	0.964	1.043	0.965	0.885
2:169000001-169500000	2	169000001	169500000	1.051	1.055	1	0.979
2:169500001-170000000	2	169500001	170000000	0.892	0.979	0.98	0.875
2:170000001-170500000	2	170000001	170500000	1.033	0.922	0.962	0.851
2:170500001-171000000	2	170500001	171000000	0.981	1.04	1.035	0.958
2:171000001-171500000	2	171000001	171500000	0.975	0.967	1.009	0.837
2:171500001-172000000	2	171500001	172000000	0.97	0.954	0.944	0.97
2:172000001-172500000	2	172000001	172500000	0.974	0.997	1.072	0.872
2:172500001-173000000	2	172500001	173000000	1.016	0.947	1.037	0.963
2:173000001-173500000	2	173000001	173500000	0.995	0.957	0.933	0.935
2:173500001-174000000	2	173500001	174000000	1.074	1.036	0.948	1.088
2:174000001-174500000	2	174000001	174500000	0.905	0.935	0.92	0.874
2:174500001-175000000	2	174500001	175000000	0.962	0.941	0.825	0.971
2:175000001-175500000	2	175000001	175500000	1.048	0.942	0.974	1.019
2:175500001-176000000	2	175500001	176000000	1.093	1.221	1.093	0.959
2:176000001-176500000	2	176000001	176500000	1.018	0.982	0.934	1.053
2:176500001-177000000	2	176500001	177000000	1.046	1.104	1.07	1.073
2:177000001-177500000	2	177000001	177500000	0.981	0.92	0.979	0.857
2:177500001-178000000	2	177500001	178000000	0.988	1.139	0.974	0.915
2:178000001-178500000	2	178000001	178500000	1.055	0.903	0.991	0.965
2:179000001-179500000	2	179000001	179500000	0.978	0.943	1.003	0.929
2:180000001-180500000	2	180000001	180500000	0.985	0.917	0.958	0.996
2:180500001-181000000	2	180500001	181000000	1.075	1.011	0.942	0.92
2:181000001-181500000	2	181000001	181500000	1.101	0.961	1.034	0.95
2:181500001-182000000	2	181500001	182000000	1.01	1.067	1.123	0.932
2:182000001-182500000	2	182000001	182500000	0.973	1.013	0.968	0.874
2:182500001-183000000	2	182500001	183000000	1.05	1.022	0.994	1.1
2:183000001-183500000	2	183000001	183500000	0.952	1.045	0.994	0.984
2:183500001-184000000	2	183500001	184000000	1.015	1.032	1.018	0.86
2:184000001-184500000	2	184000001	184500000	0.981	0.993	1.101	0.966
2:184500001-185000000	2	184500001	185000000	1.049	0.964	0.993	0.954
2:185000001-185500000	2	185000001	185500000	1.101	1.038	0.97	1.002
2:185500001-186000000	2	185500001	186000000	0.965	0.98	0.896	0.985
2:186000001-186500000	2	186000001	186500000	0.975	1.069	0.94	1.046
2:186500001-187000000	2	186500001	187000000	1.003	0.984	1.061	1.111
